Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
1600	DAB1	disabled homolog 1 (Drosophila)	NM_021080	NP_066566.3	ENSG00000173406	chr1:57248955 - 57529290	cell differentiation;multicellular organismal development;nervous system development	Protein Kinase
1601	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	NM_001343	NP_001334.2	ENSG00000153071	chr5:39410877 - 39430179	cell proliferation;cellular morphogenesis during differentiation;coated pit;excretion;in utero embryonic development;pinocytosis;protein C-terminus binding;receptor-mediated endocytosis	TGFBR,  Wnt
153090	DAB2IP	DAB2 interacting protein	NM_138709, NM_032552	NP_619723.1, NP_115941.2	ENSG00000136848	chr9:123369288 - 123585645	cell cycle;GTPase activator activity;intracellular;membrane;negative regulation of progression through cell cycle;regulation of small GTPase mediated signal transduction	Tumor Suppressor
1602	DACH1	dachshund homolog 1 (Drosophila)	NM_080760, NM_004392, NM_080759	NP_542938.1, NP_004383.2, NP_542937.1	ENSG00000165659	chr13:70912787 - 71338908	DNA binding;multicellular organismal development;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription	Entrez Query:Oncogene
1610	DAO	D-amino-acid oxidase	NM_001917	NP_001908.3	ENSG00000110887	chr12:107802911 - 107818440	D-amino-acid oxidase activity;electron transport;oxidoreductase activity;peroxisome	Stability
1611	DAP	death-associated protein	NM_004394	NP_004385.1	ENSG00000112977	chr5:10734167 - 10814180	apoptosis;induction of apoptosis by extracellular signals	TNF_alpha_NF_kB
1612	DAPK1	death-associated protein kinase 1	NM_004938	NP_004929.2	ENSG00000196730	chr9:89303812 - 89512099	actin cytoskeleton;apoptosis;ATP binding;calmodulin binding;induction of apoptosis by extracellular signals;kinase activity;nucleotide binding;protein amino acid phosphorylation;protein kinase cascade;protein serine/threonine kinase activity;signal transduction;transferase activity	Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
23604	DAPK2	death-associated protein kinase 2	NM_014326	NP_055141.2	ENSG00000035664	chr15:61987771 - 62119513	apoptosis;ATP binding;calmodulin binding;cytoplasm;identical protein binding;induction of apoptosis;nucleotide binding;protein amino acid phosphorylation;protein kinase activity;protein kinase cascade;transferase activity	Protein Kinase
1613	DAPK3	death-associated protein kinase 3	NM_001348	NP_001339.1	ENSG00000167657	chr19:3910098 - 3920733	apoptosis;ATP binding;chromatin modification;induction of apoptosis;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;protein kinase activity;protein kinase cascade;protein serine/threonine kinase activity;transferase activity	Protein Kinase
1616	DAXX	death-associated protein 6	NM_001350	NP_001341.1	ENSG00000007565	chr6:33394497 - 33397680	activation of JNK activity;androgen receptor binding;androgen receptor signaling pathway;apoptosis;cytoplasm;heat shock protein binding;identical protein binding;induction of apoptosis via death domain receptors;negative regulation of transcription, DNA-dependent;nucleus;PML body;protein N-terminus binding;receptor signaling protein activity;transcription;transcriptional repressor activity	TGFBR,  Entrez Query:Oncogene
9802	DAZAP2	DAZ associated protein 2	NM_014764	NP_055579.1	ENSG00000183283	chr12:49918958 - 49922509	protein binding	Stability
1620	DBC1	deleted in bladder cancer 1	NM_014618	NP_055433.2	ENSG00000078725	chr9:120969182 - 121115454	cell cycle;cell cycle arrest;cell death;cytoplasm;protein binding	Tumor Suppressor
55861	DBNDD2	dysbindin (dystrobrevin binding protein 1) domain containing 2	NM_001048225, NM_001048226	NP_001041690.1, NP_001041691.1	ENSG00000198641	chr20:43470521 - 43472194	cytoplasm;protein binding	Protein Kinase
1630	DCC	deleted in colorectal carcinoma	NM_005215	NP_005206.2	ENSG00000187323	chr18:48121155 - 49311021	apoptosis;axon;axonogenesis;cell cycle;induction of apoptosis;integral to plasma membrane;membrane;multicellular organismal development;negative regulation of progression through cell cycle;neuron migration;protein binding;transmembrane receptor activity	Tumor Suppressor
117159	DCD	dermcidin	NM_053283	NP_444513.1	ENSG00000161634	chr12:53324763 - 53328354	defense response to bacterium;defense response to fungus;extracellular region;manganese ion binding;protein binding;xenobiotic metabolic process	Entrez Query:Oncogene
9201	DCLK1	doublecortin-like kinase 1	NM_004734	NP_004725.1	ENSG00000133083	chr13:35246778 - 35598274	ATP binding;cell differentiation;central nervous system development;endosome transport;integral to plasma membrane;intracellular signaling cascade;kinase activity;multicellular organismal development;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor signaling protein activity;transferase activity	Protein Kinase
166614	DCLK2	doublecortin-like kinase 2	NM_001040260, NM_001040261	NP_001035350.2, NP_001035351.3	ENSG00000170390	chr4:151219629 - 151396849	ATP binding;intracellular signaling cascade;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
85443	DCLK3	doublecortin-like kinase 3	NM_033403	NP_208382.1	ENSG00000163673	chr3:36731822 - 36755154	ATP binding;intracellular signaling cascade;nucleotide binding;nucleus;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
9937	DCLRE1A	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)	NM_014881	NP_055696.3	ENSG00000198924	chr10:115584900 - 115602931	cell cycle;cell division;mitosis;nucleotide-excision repair;nucleus	Stability
64858	DCLRE1B	DNA cross-link repair 1B (PSO2 homolog, S. cerevisiae)	NM_022836	NP_073747.1	ENSG00000118655	chr1:114249731 - 114256336	DNA repair;hydrolase activity;nucleus	Stability
167227	DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)	NM_152624	NP_689837.2	ENSG00000172795	chr5:112340529 - 112377080	hydrolase activity;manganese ion binding;metal ion binding;mRNA catabolic process, nonsense-mediated decay;nucleus;protein binding;RNA binding	Stability
54165	DCUN1D1	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	NM_020640	NP_065691.2	ENSG00000043093	chr3:184145575 - 184180971	biological_process;cellular_component;molecular_function	Entrez Query:Oncogene
1641	DCX	doublecortex; lissencephaly, X-linked (doublecortin)	NM_178152, NM_178153	NP_835365.1, NP_835366.1	ENSG00000077279	chrX:110431570 - 110540858	cell differentiation;central nervous system development;cytoskeleton;intracellular signaling cascade;microtubule associated complex;microtubule binding;multicellular organismal development	Stability
1642	DDB1	damage-specific DNA binding protein 1, 127kDa	NM_001923	NP_001914.3	ENSG00000167986	chr11:60824183 - 60857016	damaged DNA binding;nucleic acid binding;nucleotide-excision repair;nucleus;protein binding;ubiquitin cycle	Stability
1643	DDB2	damage-specific DNA binding protein 2, 48kDa	NM_000107	NP_000098.1	ENSG00000134574	chr11:47193263 - 47216976	damaged DNA binding;nucleotide-excision repair;nucleus;protein binding	Futreal et al 2004,  Vogelstein and Kinzler 2004,  Stability,  Entrez Query:Oncogene,  Missense mutation,  Nonsense mutation
50807	DDEF1	development and differentiation enhancing factor 1	NM_018482	NP_060952.2	ENSG00000153317	chr8:131136158 - 131483371	GTPase activator activity;membrane;metal ion binding;protein binding;regulation of GTPase activity;zinc ion binding	EGFR1
1649	DDIT3	DNA-damage-inducible transcript 3	NM_004083	NP_004074.2	ENSG00000175197	chr12:56196858 - 56197456	cell cycle;cell cycle arrest;ER overload response;mRNA transcription from RNA polymerase II promoter;nucleus;protein dimerization activity;regulation of apoptosis;regulation of cell redox homeostasis;regulation of progression through cell cycle;regulation of transcription, DNA-dependent;response to DNA damage stimulus;sequence-specific DNA binding;transcription;transcription corepressor activity;transcription factor activity;unfolded protein response	Futreal et al 2004,  Mitelman 2000,  Stability,  Entrez Query:Oncogene,  Translocation
780	DDR1	discoidin domain receptor family, member 1	NM_013993, NM_001954, NM_013994	NP_054699.2, NP_001945.3, NP_054700.2	ENSG00000137332	chr6:30964485 - 30975052	ATP binding;cell adhesion;integral to plasma membrane;membrane;nucleotide binding;protein amino acid phosphorylation;protein-tyrosine kinase activity;receptor activity;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Protein Kinase,  Tyrosine Kinase
4921	DDR2	discoidin domain receptor family, member 2	NM_006182	NP_006173.2	ENSG00000162733	chr1:160955477 - 161016660	ATP binding;cell adhesion;integral to plasma membrane;membrane;nucleotide binding;positive regulation of cell proliferation;protein amino acid phosphorylation;protein-tyrosine kinase activity;receptor activity;signal transduction;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Protein Kinase,  Tyrosine Kinase
1662	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	NM_004398	NP_004389.2	ENSG00000178105	chr11:108041090 - 108316360	ATP binding;ATP-dependent helicase activity;hydrolase activity;nucleotide binding;RNA binding;RNA helicase activity	Futreal et al 2004,  Mitelman 2000,  Translocation
1663	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	NM_152438, NM_004399, NM_030653	NP_689651.1, NP_004390.3, NP_085911.2	ENSG00000013573	chr12:31122594 - 31148234	ATP binding;ATP-dependent DNA helicase activity;cell cycle;DNA binding;G2/M transition of mitotic cell cycle;hydrolase activity;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;mitotic sister chromatid segregation;nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;nucleolus;nucleotide binding;nucleus;positive regulation of cell proliferation;regulation of progression through cell cycle;RNA binding;S phase of mitotic cell cycle	Stability
1654	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	NM_001356	NP_001347.3	ENSG00000124487	chrX:41078449 - 41091916	ATP binding;ATP-dependent RNA helicase activity;cytoplasm;DNA binding;hydrolase activity;nucleotide binding;nucleus;RNA binding	TNF_alpha_NF_kB,  Tumor Suppressor
1655	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	NM_004396	NP_004387.1	ENSG00000108654	chr17:59926502 - 59932699	ATP binding;ATP-dependent helicase activity;cell growth;hydrolase activity;mRNA processing;nucleotide binding;nucleus;positive regulation of transcription;protein binding;RNA binding;RNA helicase activity;RNA splicing;spliceosome;transcription cofactor activity	Tumor Suppressor
1656	DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	NM_004397	NP_004388.2	ENSG00000110367	chr11:118130630 - 118162170	ATP binding;ATP-dependent helicase activity;hydrolase activity;nucleotide binding;nucleus;protein binding;RNA binding;RNA helicase activity	Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
50514	DEC1	deleted in esophageal cancer 1	NM_017418	NP_059114.1	ENSG00000173077	chr9:117178802 - 117204225	cell cycle;negative regulation of cell proliferation;negative regulation of progression through cell cycle	Tumor Suppressor
1672	DEFB1	defensin, beta 1	NM_005218	NP_005209.1	ENSG00000164825	chr8:6715612 - 6722789	chemotaxis;defense response to bacterium;extracellular region;G-protein coupled receptor protein signaling pathway;innate immune response	Entrez Query:Oncogene
7913	DEK	DEK oncogene (DNA binding)	NM_003472	NP_003463.1	ENSG00000124795	chr6:18333928 - 18372197	DNA binding;histone binding;nucleus;regulation of transcription from RNA polymerase II promoter;signal transduction;specific RNA polymerase II transcription factor activity;viral genome replication	Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
8562	DENR	density-regulated protein	NM_003677	NP_003668.2	ENSG00000139726	chr12:121804201 - 121819578	biological_process;cellular_component;molecular_function;translation initiation factor activity;translational initiation	Entrez Query:Oncogene
64798	DEPDC6	DEP domain containing 6	NM_022783	NP_073620.2	ENSG00000155792	chr8:120955267 - 121131124	intracellular;intracellular signaling cascade;protein binding	Protein Kinase
1676	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	NM_004401, NM_213566	NP_004392.1, NP_998731.1	ENSG00000160049	chr1:10444133 - 10455102	apoptosis;caspase-activated deoxyribonuclease activity;cytosol;DNA fragmentation during apoptosis;identical protein binding;intracellular;intracellular signaling cascade;nucleus	Stability
1687	DFNA5	deafness, autosomal dominant 5	NM_004403, NM_001127454, NM_001127453	NP_004394.1, NP_001120926.1, NP_001120925.1	ENSG00000105928	chr7:24705169 - 24755918	hair cell differentiation;sensory perception of sound	Tumor Suppressor
1606	DGKA	diacylglycerol kinase, alpha 80kDa	NM_201554	NP_963848.1	ENSG00000065357	chr12:54616554 - 54633819	biological_process;calcium ion binding;cellular_component;cytosol;diacylglycerol binding;diacylglycerol kinase activity;intracellular signaling cascade;kinase activity;phospholipid binding;plasma membrane;protein kinase C activation;transferase activity;zinc ion binding	Protein Kinase
1607	DGKB	diacylglycerol kinase, beta 90kDa	NM_145695, NM_004080	NP_663733.1, NP_004071.1	ENSG00000136267	chr7:14155280 - 14847413	calcium ion binding;diacylglycerol binding;diacylglycerol kinase activity;intracellular signaling cascade;plasma membrane;protein binding;protein kinase C activation;transferase activity;zinc ion binding	Protein Kinase
8527	DGKD	diacylglycerol kinase, delta 130kDa	NM_003648, NM_152879	NP_003639.2, NP_690618.2	ENSG00000077044	chr2:233927903 - 234042845	cell growth;cytoplasm;diacylglycerol binding;diacylglycerol kinase activity;diacylglycerol metabolic process;epidermal growth factor receptor signaling pathway;metal ion binding;multicellular organismal development;plasma membrane;protein heterodimerization activity;protein homodimerization activity;protein homooligomerization;protein kinase C activation;response to organic substance;second-messenger-mediated signaling;transferase activity;zinc ion binding	Protein Kinase
8526	DGKE	diacylglycerol kinase, epsilon 64kDa	NM_003647	NP_003638.1	ENSG00000153933	chr17:52267155 - 52295151	ATP binding;diacylglycerol binding;diacylglycerol kinase activity;integral to membrane;intracellular signaling cascade;membrane;metal ion binding;phospholipid biosynthetic process;protein binding;protein kinase C activation;transferase activity;zinc ion binding	Protein Kinase
1608	DGKG	diacylglycerol kinase, gamma 90kDa	NM_001346, NM_001080744, NM_001080745	NP_001337.2, NP_001074213.1, NP_001074214.1	ENSG00000058866	chr3:187350572 - 187520942	calcium ion binding;diacylglycerol binding;diacylglycerol kinase activity;intracellular signaling cascade;protein kinase C activation;transferase activity;zinc ion binding	Protein Kinase
160851	DGKH	diacylglycerol kinase, eta	NM_152910, NM_178009	NP_690874.2, NP_821077.1	ENSG00000102780	chr13:41520909 - 41701324	diacylglycerol binding;diacylglycerol kinase activity;intracellular signaling cascade;metal ion binding;protein kinase C activation;transferase activity;zinc ion binding	Protein Kinase
9162	DGKI	diacylglycerol kinase, iota	NM_004717	NP_004708.1	ENSG00000157680	chr7:136726505 - 137182148	cytoplasm;diacylglycerol kinase activity;intracellular signaling cascade;metal ion binding;nucleus;protein kinase C activation;transferase activity;zinc ion binding	Protein Kinase
139189	DGKK	diacylglycerol kinase, kappa	NM_001013742	NP_001013764.1	null	chrX:50128678 - 50230417	diacylglycerol binding;diacylglycerol kinase activity;diacylglycerol metabolic process;intracellular signaling cascade;metal ion binding;plasma membrane;protein kinase C activation;response to oxidative stress;transferase activity;zinc ion binding	Protein Kinase
1609	DGKQ	diacylglycerol kinase, theta 110kDa	NM_001347	NP_001338.2	ENSG00000145214	chr4:944407 - 957270	diacylglycerol binding;diacylglycerol kinase activity;intracellular signaling cascade;metal ion binding;protein kinase C activation;transferase activity;zinc ion binding	Protein Kinase
8525	DGKZ	diacylglycerol kinase, zeta 104kDa	NM_201533, NM_201532, NM_003646, NM_001105540	NP_963291.1, NP_963290.1, NP_003637.2, NP_001099010.1	ENSG00000149091	chr11:46344382 - 46358073	ATP binding;diacylglycerol binding;diacylglycerol kinase activity;intracellular signaling cascade;metal ion binding;nucleus;protein binding;protein kinase C activation;transferase activity;zinc ion binding	Protein Kinase
50846	DHH	desert hedgehog homolog (Drosophila)	NM_021044	NP_066382.1	ENSG00000139549	chr12:47769908 - 47774562	cell-cell signaling;membrane;multicellular organismal development;peptidase activity;protein binding;proteolysis	Hedgehog
9704	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34	NM_014681	NP_055496.2	ENSG00000134815	chr19:52548127 - 52577201	ATP binding;helicase activity;hydrolase activity;nucleotide binding;RNA binding	Tumor Suppressor
1660	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	NM_001357	NP_001348.2	ENSG00000135829	chr1:181078324 - 181123192	ATP binding;ATP-dependent DNA helicase activity;ATP-dependent RNA helicase activity;cytoplasm;DNA binding;double-stranded RNA binding;hydrolase activity;intracellular;nucleotide binding;nucleus;protein binding	Stability,  Tumor Suppressor
56616	DIABLO	diablo homolog (Drosophila)	NM_019887, NM_138929	NP_063940.1, NP_620307.1	ENSG00000184047	chr12:121258880 - 121276514	apoptosis;caspase activation via cytochrome c;induction of apoptosis;induction of apoptosis via death domain receptors;mitochondrion;protein binding	Stability
1729	DIAPH1	diaphanous homolog 1 (Drosophila)	NM_005219, NM_001079812	NP_005210.3, NP_001073280.1	ENSG00000131504	chr5:140876601 - 140978665	actin binding;actin cytoskeleton organization and biogenesis;cellular component organization and biogenesis;cytoskeleton;profilin binding;receptor binding;Rho GTPase binding;sensory perception of sound	Stability
11083	DIDO1	death inducer-obliterator 1	NM_080796, NM_033081, NM_080797	NP_542986.1, NP_149072.1, NP_542987.2	ENSG00000101191	chr20:60981029 - 61013409	apoptosis;metal ion binding;nucleus;protein binding;transcription;zinc ion binding	Tumor Suppressor
148252	DIRAS1	DIRAS family, GTP-binding RAS-like 1	NM_145173	NP_660156.1	ENSG00000176490	chr19:2668207 - 2668804	GTP binding;intracellular;membrane;nucleotide binding;small GTPase mediated signal transduction	Tumor Suppressor
9077	DIRAS3	DIRAS family, GTP-binding RAS-like 3	NM_004675	NP_004666.1	ENSG00000162595	chr1:68284878 - 68285568	GTP binding;GTPase activity;imprinting;membrane;nucleotide binding;regulation of cyclin-dependent protein kinase activity;small GTPase mediated signal transduction	Protein Kinase,  Tumor Suppressor
22943	DKK1	dickkopf homolog 1 (Xenopus laevis)	NM_012242	NP_036374.1	ENSG00000107984	chr10:53744200 - 53746573	embryonic limb morphogenesis;extracellular region;growth factor activity;low-density lipoprotein receptor binding;multicellular organismal development;negative regulation of Wnt receptor signaling pathway;plasma membrane;protein binding;signal transducer activity;Wnt receptor signaling pathway	Wnt,  Tumor Suppressor
27122	DKK3	dickkopf homolog 3 (Xenopus laevis)	NM_015881	NP_056965.3	ENSG00000050165	chr11:11942586 - 11986705	anatomical structure morphogenesis;extracellular region;extracellular space;multicellular organismal development;negative regulation of Wnt receptor signaling pathway;Wnt receptor signaling pathway	Tumor Suppressor
10395	DLC1	deleted in liver cancer 1	NM_006094, NM_182643, NM_024767	NP_006085.2, NP_872584.1, NP_079043.2	ENSG00000164741	chr8:12987690 - 13401951	cytoplasm;cytoskeleton organization and biogenesis;GTPase activator activity;intracellular;negative regulation of cell growth;protein binding;regulation of cell adhesion;Rho GTPase activator activity;signal transduction	Tumor Suppressor
9940	DLEC1	deleted in lung and esophageal cancer 1	NM_007337, NM_007335	NP_031363.2, NP_031361.2	ENSG00000008226	chr3:38055720 - 38139100	cell cycle;cytoplasm;molecular_function;negative regulation of cell proliferation;negative regulation of progression through cell cycle	Tumor Suppressor
1739	DLG1	discs, large homolog 1 (Drosophila)	NM_004087, NM_001098424	NP_004078.2, NP_001091894.1	ENSG00000075711	chr3:198255890 - 198508472	actin filament organization;basolateral plasma membrane;cell-cell adherens junction;cell-cell adhesion;cortical actin cytoskeleton organization and biogenesis;cytoskeletal protein binding;endoplasmic reticulum;endothelial cell proliferation;establishment and/or maintenance of cell polarity;G1/S transition checkpoint;guanylate kinase activity;negative regulation of progression through mitotic cell cycle;phosphatase binding;phosphoprotein phosphatase activity;plasma membrane;positive regulation of body size;p	Wnt,  Protein Kinase,  Stability
1740	DLG2	discs, large homolog 2, chapsyn-110 (Drosophila)	NM_001364	NP_001355.2	ENSG00000150672	chr11:82848508 - 84311810	guanylate kinase activity;plasma membrane;protein binding	Wnt
1741	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	NM_021120, NM_020730	NP_066943.2, NP_065781.1	ENSG00000082458	chrX:69581776 - 69638844	cellular_component;guanylate kinase activity;negative regulation of cell proliferation;protein binding	Tumor Suppressor
1742	DLG4	discs, large homolog 4 (Drosophila)	NM_001128827, NM_001365	NP_001122299.1, NP_001356.1	ENSG00000132535	chr17:7034750 - 7061190	cortical cytoskeleton;learning;nervous system development;postsynaptic membrane;protein binding;protein C-terminus binding;protein complex assembly;signal transduction;synaptic transmission	Wnt
9787	DLGAP5	discs, large homolog 7 (Drosophila)	NM_014750	NP_055565.2	ENSG00000126787	chr14:54684821 - 54725650	cell cycle;cell proliferation;cell-cell signaling;M phase of mitotic cell cycle;mitotic chromosome movement towards spindle pole;nucleus;phosphoprotein phosphatase activity;positive regulation of mitotic metaphase/anaphase transition;protein binding;spindle pole centrosome	Stability,  Tumor Suppressor
8788	DLK1	delta-like 1 homolog (Drosophila)	NM_003836	NP_003827.3	ENSG00000185559	chr14:100263158 - 100270986	extracellular space;integral to membrane;membrane;molecular_function;multicellular organismal development;protein binding;soluble fraction	Tumor Suppressor
28514	DLL1	delta-like 1 (Drosophila)	NM_005618	NP_005609.3	ENSG00000198719	chr6:170433886 - 170441152	auditory receptor cell fate commitment;calcium ion binding;cell communication;cell differentiation;cell fate determination;compartment specification;cytoplasmic vesicle;determination of left/right symmetry;extracellular region;hemopoiesis;in utero embryonic development;inner ear morphogenesis;integral to plasma membrane;multicellular organismal development;negative regulation of auditory receptor cell differentiation;negative regulation of cell differentiation;nervous system development;Notch binding;Notch 	NOTCH
54567	DLL4	delta-like 4 (Drosophila)	NM_019074	NP_061947.1	ENSG00000128917	chr15:39009158 - 39017524	angiogenesis;calcium ion binding;cell differentiation;circulation;integral to membrane;membrane;multicellular organismal development;Notch binding;Notch signaling pathway;protein binding;signal transduction	NOTCH
1749	DLX5	distal-less homeobox 5	NM_005221	NP_005212.1	ENSG00000105880	chr7:96487983 - 96491871	axonogenesis;embryonic limb morphogenesis;inner ear morphogenesis;multicellular organismal development;nervous system development;nucleus;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;skeletal development;transcription factor activity	Entrez Query:Oncogene
11144	DMC1	DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)	NM_007068	NP_008999.2	ENSG00000100206	chr22:37245970 - 37294207	ATP binding;cell cycle;condensed nuclear chromosome;DNA binding;DNA metabolic process;DNA-dependent ATPase activity;female gamete generation;intracellular;meiosis;meiotic recombination;nucleoside-triphosphatase activity;nucleotide binding;nucleus;ovarian follicle development;spermatogenesis	Stability
1756	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	NM_004022, NM_004011, NM_004023, NM_004012, NM_004020, NM_004019, NM_004015, NM_004009, NM_004010, NM_004021, NM_004017, NM_004013, NM_004018, NM_004014, NM_004016, NM_000109	NP_004013.1, NP_004002.2, NP_004014.1, NP_004003.1, NP_004011.1, NP_004010.1, NP_004006.1, NP_004000.1, NP_004001.1, NP_004012.1, NP_004008.1, NP_004004.1, NP_004009.1, NP_004005.1, NP_004007.1, NP_000100.2	ENSG00000198947	chrX:31049956 - 33139350	actin binding;calcium ion binding;costamere;cytoskeletal anchoring;cytoskeleton;dystrophin-associated glycoprotein complex;muscle contraction;muscle development;peptide biosynthetic process;protein binding;structural constituent of cytoskeleton;structural constituent of muscle;zinc ion binding	Stability
23336	DMN	desmuslin	NM_015286, NM_145728	NP_056101.5, NP_663780.2	ENSG00000182253	chr15:97462928 - 97490786	intermediate filament;protein binding;structural constituent of muscle	Stability
1760	DMPK	dystrophia myotonica-protein kinase	NM_001081560, NM_004409, NM_001081563, NM_001081562	NP_001075029.1, NP_004400.4, NP_001075032.1, NP_001075031.1	ENSG00000104936	chr19:50965585 - 50977450	ATP binding;identical protein binding;magnesium ion binding;nucleotide binding;protein amino acid phosphorylation;protein modification process;protein serine/threonine kinase activity;regulation of heart contraction;regulation of small GTPase mediated signal transduction;transferase activity	Protein Kinase
9988	DMTF1	cyclin D binding myb-like transcription factor 1	NM_021145	NP_066968.3	ENSG00000135164	chr7:86632193 - 86662392	cell cycle;mRNA processing;nucleus;regulation of transcription, DNA-dependent;RNA splicing;spliceosome;transcription factor activity	Tumor Suppressor
9093	DNAJA3	DnaJ (Hsp40) homolog, subfamily A, member 3	NM_005147	NP_005138.3	ENSG00000103423	chr16:4415883 - 4444916	cytosol;heat shock protein binding;metal ion binding;mitochondrial matrix;mitochondrion;nucleus;protein folding;regulation of apoptosis;small GTPase mediated signal transduction;small GTPase regulator activity;unfolded protein binding;zinc ion binding	Stability,  Tumor Suppressor
11080	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	NM_007034	NP_008965.2	ENSG00000162616	chr1:78243382 - 78254519	heat shock protein binding;protein folding;response to heat;response to unfolded protein;unfolded protein binding	Tumor Suppressor
55735	DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11	NM_018198	NP_060668.2	ENSG00000007923	chr1:6618321 - 6684447	heat shock protein binding;protein folding	Tumor Suppressor
27000	DNAJC2	zuotin related factor 1	NM_001129887, NM_014377	NP_001123359.1, NP_055192.1	ENSG00000105821	chr7:102740251 - 102772305	DNA binding;heat shock protein binding;integral to membrane;nucleus;protein folding;unfolded protein binding	ID
5611	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	NM_006260	NP_006251.1	ENSG00000102580	chr13:95127510 - 95241285	binding;cytoplasm;defense response;heat shock protein binding;protein folding;protein kinase inhibitor activity;response to unfolded protein;response to virus	Protein Kinase,  Stability
1759	DNM1	dynamin 1	NM_004408, NM_001005336	NP_004399.2, NP_001005336.1	ENSG00000106976	chr9:130005570 - 130056814	coated pit;GTP binding;GTPase activity;hydrolase activity;microtubule;motor activity;nucleotide binding;protein binding;receptor-mediated endocytosis;synaptic transmission	EGFR1
1786	DNMT1	DNA (cytosine-5-)-methyltransferase 1	NM_001379	NP_001370.1	ENSG00000130816	chr19:10105342 - 10166575	DNA (cytosine-5-)-methyltransferase activity;DNA binding;DNA methylation;gene silencing;heterochromatin;metal ion binding;methyltransferase activity;negative regulation of transcription from RNA polymerase II promoter;nucleus;replication fork;transcription;transcription factor binding;transcriptional repressor activity;transferase activity;zinc ion binding	Stability,  Tumor Suppressor
1789	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	NM_175848, NM_175849, NM_006892	NP_787044.1, NP_787045.1, NP_008823.1	ENSG00000088305	chr20:30831790 - 30859370	DNA (cytosine-5-)-methyltransferase activity;DNA binding;DNA methylation;metal ion binding;methyltransferase activity;nucleus;protein binding;site-specific DNA-methyltransferase (cytosine-specific) activity;transferase activity;zinc ion binding	Tumor Suppressor,  Entrez Query:Oncogene
1793	DOCK1	dedicator of cytokinesis 1	NM_001380	NP_001371.1	ENSG00000150760	chr10:128584076 - 129139681	apoptosis;cytoplasm;cytoskeleton;electron carrier activity;electron transport;GTPase activator activity;guanyl-nucleotide exchange factor activity;heme binding;integrin-mediated signaling pathway;iron ion binding;membrane;phagocytosis, engulfment;protein binding;signal transduction;small GTPase mediated signal transduction	Stability
1796	DOK1	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	NM_001381	NP_001372.1	ENSG00000115325	chr2:74635389 - 74637749	cell surface receptor linked signal transduction;insulin receptor binding;protein binding;transmembrane receptor protein tyrosine kinase signaling pathway	Kit Receptor,  Protein Kinase,  Tumor Suppressor
9046	DOK2	docking protein 2, 56kDa	NM_003974	NP_003965.2	ENSG00000147443	chr8:21822767 - 21827058	cell surface receptor linked signal transduction;identical protein binding;insulin receptor binding	Protein Kinase
55715	DOK4	docking protein 4	NM_018110	NP_060580.2	ENSG00000125170	chr16:56064789 - 56070920	insulin receptor binding;MAPKKK cascade;nervous system development;transmembrane receptor protein tyrosine kinase signaling pathway;transmembrane receptor protein tyrosine kinase signaling protein activity	Protein Kinase
